IndexCustom,Article,Event,Bias,FineGrain_Techniques,FineGrain_Spans,Narrative
133F,"""Hum yahan apni rozi-roti ke liye aaye hain. Apne bachhon ke liye, apne ghar, apni zameen ke liye(We are here for our livelihood, our children, our home, and our lands),"" said Anita Devi, 49, as she sat at a protest in Delhi's Ramlila Ground. A 15-member delegation representing SKM met with Union Agriculture Minister Narendra Singh Tomar at the Krishi Bhawan in the afternoon and submitted a demand charter. These demands include a law to guarantee Minimum Support Price (MSP) for all crops, withdrawal of cases registered against farmers, compensation to families of farmers who died during the protest, pension, debt waiver, and withdrawal of the Electricity Bill.  ",Farmers Protest,Neutral,No Technique,No Tags,No Narrative
415F,"""I have never said anything derogatory or hateful about any caste, religion, or group,"" Ranaut said. Actor Kangana Ranaut on Tuesday said that she has filed an FIR after allegedly receiving threats over her posts on farmers protests. Ranaut, who has been constantly critical and sometimes incendiary against the farmers' movement, posted a lengthy statement in Hindi on Instagram. The actor alleged that she has been ""constantly receiving"" threats from ""disruptive forces"" over her recent posts. ""I am getting constant threats from disruptive forces on this very post of mine. One man from Bathinda openly threatened to kill me. I am not afraid of these type of threats. ""I will continue to speak against those who conspire against the country and terrorist forces, be it Naxalites killing innocent jawans, tukde tukde gangs or terrorists sitting abroad dreaming of forming Khalistan,"" Ranaut said. Along with the post, the actor shared a photo of her and mother from their recent trip to Amritsar's Golden Temple. ""Democracy is the biggest strength of our country. The government may be of any party, but the fundamental right to protect the integrity, unity and fundamental rights of citizens and expression of ideas has been given to us by the Constitution of Baba Saheb Ambedkar. ""I have never said anything derogatory or hateful about any caste, religion, or group,"" Ranaut said. Sharing a copy of the FIR, the 34-year-old actor also requested interim Congress president Sonia Gandhi to direct Charanjit Singh Channi-led Punjab government to take action on her complaint. ""I would also like to remind Congress President Sonia ji that you are also a woman and your mother-in-law Indira Gandhi ji fought strongly against this terrorism till the last moment. Kindly instruct your chief minister of Punjab to take immediate action on threats from such terrorist, disruptive and anti-national forces. ""I have registered an FIR with the police against the threats and I hope the Punjab government will take action soon,"" Ranaut said. The actor claimed there is politics behind the threats that she has received.",Farmers Protest,right,"Flag-Waving,Glittering Generalities (Virtue),Loaded Language,Name Calling and Labeling","T7: ['terrorists sitting abroad dreaming of forming Khalistan']
T7: ['terrorist, disruptive and anti-national']
T8: ['tukde tukde gangs']
T11: ['speak against those who conspire against the country']
T11: ['Democracy is the biggest strength of our country. The government may be of any party, but the fundamental right to protect the integrity, unity and fundamental rights']
T20: ['I will continue to speak against those who conspire against the country and terrorist forces, be it Naxalites killing innocent jawans, tukde tukde gangs or terrorists sitting abroad dreaming of forming Khalistan']","Framing Anti-Farm Law Protests as Subversive, Justifying Farm Laws by Critiquing Current Policies, Vilification of the opposition"
386F,"""In Aurangabad, crops were destroyed on 13,535.07 hectares and 35,015 farmers were affected. In Latur, damage was on 10,367.83 hectares affecting 22,565 farmers,"" an official said. Crops on more than 60,000 hectares of land in Marathwada in Maharashtra have been damaged due to last month's unseasonal rains and a sum of Rs 84.75 crore would be needed to give compensation to 1.22 lakh farmers, an official said on Friday. Quoting figures from the crop loss assessment survey carried out by the state government, he said Nanded saw the maximum loss with crops getting damaged on 21,579.50 hectares and affecting 36,543 farmers. ""InAurangabad, crops were destroyed on 13,535.07 hectares and 35,015 farmers were affected. In Latur, damage was on 10,367.83 hectares affecting 22,565farmers,"" he said. The official said the compensation needed to be paid in Nanded was Rs 30.52 crore, Rs 22.17 crore in Aurangabad, Rs 10.56 crore in Latur, Rs 3.67 crore in Jalna, Rs 4.37 crore in Parbhani, Rs 6.04 crore in Hingol, Rs 5.99 crore in Beed and Rs 1.39 crore in Osmanabad.",Farmers Protest,Neutral,No Technique,No Tags,No Narrative
300F,"""The list has doctors, lawyers, sportspersons, farmers, youth, women, and former IAS,"" said Bharatiya Janata Party (BJP) General Secretary Tarun Chugh Amid hectic campaigning from all concerned to win in Punjab, the Bharatiya Janata Party (BJP) released its first list of 34 candidates for the upcoming Assembly polls. Out of 34 candidates in the first list, 12 are from farmer families, 8 from the Scheduled Caste category and 13 are from the Sikh community. BJP press briefing at party headquarters in New Delhi.https://t.co/iipU5AImxL ""The list has doctors, lawyers, sportspersons, farmers, youth, women, and former IAS,"" said Party General Secretary Tarun Chugh. Also, present were General Secretary of the party Dushyant Kumar Gautam and Union Minister and party's co-incharge for assembly elections Hardeep Singh Puri. ""The people of Punjab are suffering from misgovernance. Years ago, drug addiction, corruption and many other problems had cropped up in the state, unfortunately even today those problems remain the same. No progress has been made in Punjab under the previous government,"" said Gautam, clearly spelling out that the BJP would work towards solving these problems. The party is contesting the elections in alliance with the Punjab Lok Congress led by former CM Captain Amarinder Singh and the SAD (Sanyukt). भारतीय जनता पार्टी की केंद्रीय चुनाव समिति ने पंजाब विधानसभा चुनाव-2022 के लिए निम्नलिखित प्रत्याशियों के नामों पर अपनी स्वीकृति प्रदान की है।pic.twitter.com/fOSfYxWj5P The Election Commission of India on January 8 had announced the dates for the Punjab Assembly elections 2022 which will be held on February 20 to elect 117 members of the 16th state Legislative Assembly. In the last Assembly elections in 2017, the Indian National Congress bagged 77 out of 117 seats, leaving the Shiromani Akali Dal (SAD) and the Bharatiya Janata Party (BJP) alliance behind in the third place with 18 seats. AAP was second with 20 seats and became the official opposition in the state. Polling in Punjab is scheduled to be held on February 14 and the counting of votes will take place on March 10. With less than a month to go for the assembly elections in Punjab, the Republic TV-PMARQ Opinion Poll has presented a snapshot projection of where the various parties stand at the moment in the state. Of the number of parties in fray like Bharatiya Janata Party (BJP), Congress, Punjab Lok Congress, Shiromani Akali Dal (SAD), Aam Aadmi Party (AAP), the Opinion Poll has made a promising projection for AAP. For Punjab, which goes to the polls in a month, the Opinion Poll projects that AAP may bag 50-56 seats (37.8 %) of the total 117 seats, Congress 42-48 seats (35%), SAD 13 to 17 seats (15.8%), BJP 1-3 seats (5.7%) and others 1-3 seats (5.6%).",Farmers Protest,right,Smears,"T15: ['The people of Punjab are suffering from misgovernance.']
T15: ['No progress has been made in Punjab under the previous government']","Glorification of the central government, Vilification of the opposition"
323F,"""The price of milk is Rs 50-56 in the entire nation, and in our state, the price is very low. So, we want to help farmers by increasing Rs 3,"" said Shivakumar. A day after no money for development remark, Karnataka Deputy Chief Minister DK Shivakumar, on the hike of milk price in the state, said that the Congress government wants to help farmers by increasing the price of milk. The Karnataka cabinet on Thursday decided to increase milk prices by Rs 3 per litre in the state following demands from the milk producers' unions. This decision will be effective from August 1. ""We have to give money to the farmers. Entire country, the price of milk is Rs 50-56, and in our state, the price is very low. So, we want to help the farmers by increasing Rs 3"", says Karnataka Dy CM DK Shivakumar on the hike of milk price in the state. The Cabinet approved the hike in a meeting with Karnataka Milk Federation (KMF) representatives and gave post-facto approval a week later. KMF stated that procurement was reduced due to private players offering higher prices to farmers. Law Minister HK Patil said the Cabinet approved the decision on Thursday. DK Shivakumar's statements came a day after he said that the Congress government in the state cannot provide funds for development this year because of financial constraints. The financial crunch has been caused by the implementation of the five poll guarantees, he added. Speaking to reporters, he said, ""We will not be able to provide funds for development this year. We will not be able to provide -- in the irrigation department or PWD department, but there is a huge expectation (from MLAs). We have asked them to wait. We will explain the situation to them in the legislature party meeting."" Shivakumar said Chief Minister Siddaramaiah had also said this during the preparation of the budget, and asked the ministers to have patience.",Farmers Protest,Neutral,No Technique,No Tags,No Narrative
344F,"""This will be an initial relief. They will be getting more as our government has demanded a drought relief package from the Centre,"" he said, Jharkhand Chief Minister Hemant Soren on Sunday announced an initial drought relief of Rs 3,500 each for 30 lakh affected farmers in the state. The state government on October 29 declared 226 of the 260 blocks in the state as drought affected. ""This will be an initial relief. They will be getting more as our government has demanded a drought relief package from the Centre,"" he said, while addressing a public meeting in Lukaiyatand area in Ramgarh district. ""Soon, camps will be organised at the village and panchayat levels to distribute the initial relief amount to the affected farmers,"" he said. The CM visited his native Nemra village on Sunday to pay homage to his grandfather Sobaran Manjhi on his 65th death anniversary. Recalling his childhood in Nemra, Soren said the village was backward and its residents very poor. ""There was no pucca road. All of us including me had to walk to our homes. But now the scenario of not only the village but also of the entire state has changed. A school has been sanctioned in Lukaiyatand and road is being constructed,"" he said. Former chief minister and JMM supremo Shibu Soren asked villagers to educate their children.",Farmers Protest,Neutral,No Technique,No Tags,No Narrative
295F,"""Tractors have been fitted with hydraulic tools to remove barricades, fire-resistant hard-shell trailers being readied to fight tear gas shells"", reports added. New Delhi:Thousands of farmers from Punjab and Haryana are planning to march to Delhi on February 13, according to reports from central intelligence agencies and are expected to bring over 25,000 farmers and around 5000 tractors to the capital. Officials have added that these tractors have been modified with hydraulic tools to remove barricades, and fire-resistant trailers are being prepared to combat tear gas shells. The horsepower of the machines is also being doubled to transport as many protesters as possible. Despite efforts by police to block their path with barricades and concrete blocks, farmers have reached the Delhi border. Police and paramilitary forces are preparing to counter potential attacks with swords and sticks. The Samyukta Kisan Morcha and the Kisan Mazdoor Morcha had previously announced the 'Delhi Chalo' march by more than 200 farmers' unions on February 13. They demand the Centre accept their demands. Delhi Police Commissioner Sanjay Arora has checked preparations and security at borders connecting Uttar Pradesh with Delhi. Section 144 is imposed on the borders in Delhi's North East district and Thousands of policemen are deployed to prevent any issues during the protest. “All the police personnel are being trained,” a senior police official said. They expect farmers to enter Delhi from the Singhu Border, Tikri Border, and Ghazipur Border. Kisan Mazdoor Sangharsh Committee general secretary Pandher also had criticised the Haryana government for suspending mobile internet services and bulk SMS in several districts.This movement follows a similar protest in 2021 where numerous policemen were injured in a sword attack. Hence to prepare for the upcoming march, the Khattar government suspended mobile internet, bulk SMS, and dongle services in several districts until February 13. According to sources, Mobile internet services are unavailable in seven districts—Ambala, Kurukshetra, Kaithal, Jind, Hisar, Fatehabad, and Sirsa—from 6 am on February 11 until 11:59 pm on February 13. On Saturday, farmer leader Sarwan Singh Pandher revealed that farmer leaders have been invited by the Centre for a meeting on February 12. Three Union ministers are expected to visit Chandigarh to hold talks with farmer representatives. The first meeting with ministers took place on February 8. Discussions were held with farmer organisation leaders planning the 'Delhi Chalo' march. Punjab Chief Minister Bhagwant Mann also participated in the meeting. After the meeting, Mann announced that ministers and farmer leaders agreed on withdrawing cases against farmers and strict punishment for fake seeds and chemicals. ",Farmers Protest,Neutral,No Technique,No Tags,No Narrative
138F,"""We want justice for what happened to my brother. We don't need any help. All we need is justice for my brother,"" Amanpreet Kaur, sister of deceased farmer Lovepreet Singh, can be heard saying in a video circulated on Twitter. Among thefour farmers who died in the unrestthat had ensued in Uttar Pradesh's Lakhimpur Kheri on Sunday, 3 October, was a 19-year-old. Lovepreet Singh had been taken to the hospital after being allegedly trampled by a speeding car in Lakhimpur, and, in his last moments, had told his father to reach the hospital quickly,NDTVreported. However, by the time his family arrived at the site, the teenager had succumbed to his injuries. The young farmer, whose body had been kept in a glass case over the past couple of days, was cremated on Tuesday. His family, critical of the administration's lack of response to the tragic incident, had refused to perform the last rites of Lovepreet until they were handed an autopsy report and a copy of the FIR against the Union minister's son,NDTVreported. Lovepreet's sister, when asked if she thought that justice would be provided now that her brother has been cremated and laid to rest, said in Punjabi, ""I have no such hope(Ji umeed ta nahi haigi)."" On Monday, an FIR under had been filed under the charges of murder against Ashish Misra, son of Union Minister of State for Home Affairs Ajay Misra Teni, and others, for allegedly running a car over the protesting farmers in Lakhimpur Kheri. Sister of deceased Lovepreet Singh (RIP) says ""all we need is justice. We don't need any other help"". (With inputs from NDTV.)  ",Farmers Protest,Neutral,No Technique,No Tags,No Narrative
208F,"(If you feel suicidal or know someone in distress, please reach out to them with kindness and call thesenumbersof local emergency services, helplines, and mental health NGOs) Late evening on Saturday, 6 February, a 52-year-old farmer from Jind in Haryana died by suicide at Tikri Border. The deceased, Karamveer Singh, was found hanging from a tree in a park. He hailed from Singhwaal village in Jind. Allegedly, a suicide note has also been recovered, which blames the government for the delay in reaching a conclusion on farm laws. The purported note, accessed byThe Quintreads: There have been several such incidents of suicide among farmers who have been camping at the borders pf Delhi since November to protest the controversial farm legislations. Earlier in December a61-year-old farmer from Tarn Taranalso attempted suicide at Singhu Border.  ",Farmers Protest,Neutral,No Technique,No Tags,No Narrative
174F,"(If you feel suicidal or know someone in distress, please reach out to them with kindness and call thesenumbersof local emergency services, helplines, and mental health NGOs.) In Haryana's Jind District, a 55-year-old farmer consumed poison and ended his life at a farmers' protest site in Khatkar toll plaza on Wednesday, 16 June. Distressed by the prolonged farmers’ struggle against the central government's three agricultural ordinances, the farmers at the site informed that Zile Singh was seemingly living with depression, IANS reported. Singh, a small farmer owning two acres of land, was a resident of Khatkar village and had been actively involved in serving food to protesters, IANS reported. The district Bharatiya Kisan Union (BKU) leader Azad Singh said that he was alone at the shed last night, and when a group of farmers arrived in the morning, they found him unconscious, with a bottle of poison found from the shed,The Tribunereported. The union leader also informed that the body was taken to Narwana civil hospital for postmortem examination, and the local police was informed of the incident. Zile Singh is remembered by his three children and wife.  ",Farmers Protest,Neutral,No Technique,No Tags,No Narrative
